iter	Passed	Remaining
1646	3742	802
1647	3744	799
1648	3746	797
1649	3748	795
1650	3749	792
1651	3751	790
1652	3753	788
1653	3756	785
1654	3758	783
1655	3760	781
1656	3762	778
1657	3763	776
1658	3765	774
1659	3767	771
1660	3769	769
1661	3771	767
1662	3773	764
1663	3775	762
1664	3776	759
1665	3778	757
1666	3780	755
1667	3782	752
1668	3784	750
1669	3786	748
1670	3788	745
1671	3790	743
1672	3792	741
1673	3794	738
1674	3796	736
1675	3798	734
1676	3800	731
1677	3802	729
1678	3803	727
1679	3805	724
1680	3807	722
1681	3809	720
1682	3811	717
1683	3813	715
1684	3815	713
1685	3817	710
1686	3819	708
1687	3820	706
1688	3822	703
1689	3824	701
1690	3826	699
1691	3828	696
1692	3831	694
1693	3833	692
1694	3835	690
1695	3837	687
1696	3839	685
1697	3841	683
1698	3843	680
1699	3845	678
1700	3847	676
1701	3849	673
1702	3851	671
1703	3852	669
1704	3854	666
1705	3856	664
1706	3858	662
